epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8654,1.06645,1.81679,1.26104,0.79961,0.70982,0.79318,0.60964,0.82365,1.2747,1.20412,0.0033156,0.0033156,0.0033156
2,167.221,1.10266,1.31147,1.28472,0.80926,0.66236,0.75991,0.55515,0.96436,1.09997,1.34456,0.00661602,0.00661602,0.00661602
3,249.825,1.20521,1.31285,1.35086,0.53981,0.51642,0.48633,0.28959,1.32477,1.6781,1.64623,0.00988345,0.00988345,0.00988345
4,332.546,1.31097,1.38252,1.44165,0.48108,0.45697,0.41377,0.24871,1.32103,2.24254,1.65646,0.0098515,0.0098515,0.0098515
5,414.916,1.28487,1.32154,1.42408,0.77089,0.55405,0.6659,0.43024,1.25473,1.34243,1.64856,0.009802,0.009802,0.009802
6,497.483,1.24939,1.25288,1.40051,0.80873,0.62252,0.70801,0.47735,1.18831,1.12709,1.5348,0.0097525,0.0097525,0.0097525
7,580.153,1.23175,1.22229,1.39614,0.80211,0.64864,0.73939,0.53547,1.07352,1.06402,1.45091,0.009703,0.009703,0.009703
8,662.73,1.22186,1.19608,1.38277,0.82161,0.64367,0.74657,0.54133,1.02314,0.98203,1.40883,0.0096535,0.0096535,0.0096535
9,745.627,1.19553,1.16821,1.36803,0.83641,0.64001,0.75445,0.54914,1.0149,0.96832,1.39212,0.009604,0.009604,0.009604
10,828.488,1.18259,1.14423,1.35879,0.82174,0.66065,0.76069,0.56125,0.97421,0.96036,1.35595,0.0095545,0.0095545,0.0095545
11,911.482,1.16826,1.12583,1.34907,0.80437,0.67141,0.75554,0.55778,0.96101,0.96113,1.34701,0.009505,0.009505,0.009505
12,995.321,1.16779,1.11871,1.34479,0.74617,0.62055,0.7076,0.50358,1.09145,1.1719,1.45085,0.0094555,0.0094555,0.0094555
13,1078.32,1.14565,1.09319,1.33177,0.8157,0.67888,0.78328,0.57807,0.97751,0.89463,1.3512,0.009406,0.009406,0.009406
14,1161.08,1.12903,1.06694,1.32516,0.80309,0.67176,0.76249,0.56248,0.96817,0.9899,1.34323,0.0093565,0.0093565,0.0093565
15,1243.38,1.13165,1.06209,1.31836,0.80622,0.68848,0.77202,0.58186,0.93237,0.87457,1.32569,0.009307,0.009307,0.009307
