epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.851,0.80631,1.41636,1.08463,0.83639,0.74914,0.84334,0.67973,0.67032,0.9627,1.0226,0.00332268,0.00332268,0.00332268
2,224.542,0.84149,1.02344,1.10035,0.82829,0.65226,0.76301,0.56443,0.88843,1.16742,1.23638,0.00662307,0.00662307,0.00662307
3,335.515,0.93244,1.03007,1.15291,0.69074,0.64501,0.68214,0.4706,1.01599,1.20746,1.30799,0.00989046,0.00989046,0.00989046
4,447,1.0109,1.05573,1.20617,0.74415,0.63526,0.72216,0.52898,0.93727,1.40295,1.23787,0.0098515,0.0098515,0.0098515
5,558.066,0.97661,0.98955,1.18377,0.82965,0.68074,0.79218,0.59948,0.87669,0.94161,1.20354,0.009802,0.009802,0.009802
6,668.918,0.94007,0.94839,1.17337,0.80822,0.71701,0.81312,0.63919,0.80474,0.90208,1.13104,0.0097525,0.0097525,0.0097525
7,779.574,0.91884,0.91537,1.15708,0.85486,0.7061,0.81125,0.62674,0.82657,0.85138,1.15356,0.009703,0.009703,0.009703
8,890.433,0.89542,0.87932,1.14474,0.86608,0.72394,0.83972,0.67452,0.74177,0.79034,1.09401,0.0096535,0.0096535,0.0096535
9,1001.32,0.87891,0.86168,1.13697,0.84769,0.73141,0.83747,0.67231,0.7269,0.80054,1.08663,0.009604,0.009604,0.009604
10,1112.37,0.86761,0.84399,1.12746,0.84555,0.73973,0.84044,0.68337,0.73214,0.7828,1.08232,0.0095545,0.0095545,0.0095545
11,1223.61,0.84143,0.81643,1.11328,0.84741,0.76668,0.85603,0.70163,0.6966,0.71979,1.05546,0.009505,0.009505,0.009505
12,1334.76,0.83673,0.80916,1.10762,0.87641,0.75737,0.86232,0.71581,0.68045,0.70278,1.04422,0.0094555,0.0094555,0.0094555
13,1446.13,0.82234,0.79465,1.10304,0.85901,0.76979,0.86865,0.72335,0.65951,0.68672,1.02722,0.009406,0.009406,0.009406
14,1557.16,0.81659,0.78508,1.10033,0.86522,0.76486,0.86626,0.71848,0.67206,0.71139,1.04125,0.0093565,0.0093565,0.0093565
15,1667.87,0.80482,0.77146,1.09652,0.86148,0.78681,0.87134,0.72907,0.64984,0.67044,1.02962,0.009307,0.009307,0.009307
16,1779.03,0.79775,0.7629,1.0916,0.86449,0.77855,0.86899,0.7311,0.63097,0.652,1.00971,0.0092575,0.0092575,0.0092575
17,1889.64,0.78942,0.75128,1.08508,0.87701,0.76039,0.86451,0.7304,0.63404,0.68042,1.00678,0.009208,0.009208,0.009208
18,2000.44,0.78358,0.74339,1.08034,0.86371,0.78506,0.87265,0.73629,0.62285,0.65122,1.00641,0.0091585,0.0091585,0.0091585
