epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.395,2.19968,4.82446,2.48495,0.70797,0.58499,0.66026,0.49634,1.77432,3.27594,2.45984,0.0033156,0.0033156,0.0033156
2,212.961,2.39491,3.28392,2.59424,0.717,0.5595,0.64742,0.46575,2.1582,2.80827,2.75678,0.00661602,0.00661602,0.00661602
3,318.652,2.62671,3.16422,2.76459,0.412,0.35669,0.31832,0.16866,3.16675,5.81137,3.82348,0.00988345,0.00988345,0.00988345
4,424.267,2.85571,3.27758,2.94522,0.57192,0.47368,0.50502,0.29018,2.841,3.71279,3.48309,0.0098515,0.0098515,0.0098515
5,529.603,2.8012,3.09953,2.9019,0.74259,0.53805,0.61995,0.41409,2.48822,2.79219,3.14257,0.009802,0.009802,0.009802
6,635.21,2.71729,2.94684,2.84664,0.7695,0.60633,0.69405,0.48178,2.2568,2.35096,2.91313,0.0097525,0.0097525,0.0097525
7,740.585,2.67168,2.83561,2.82434,0.75028,0.57504,0.65114,0.46276,2.36925,2.64492,3.00146,0.009703,0.009703,0.009703
8,846.227,2.64281,2.76369,2.79425,0.80216,0.62553,0.71994,0.52393,2.11155,2.15999,2.79581,0.0096535,0.0096535,0.0096535
9,951.792,2.58971,2.69714,2.7711,0.78703,0.63343,0.72658,0.51153,2.22759,2.21302,2.9087,0.009604,0.009604,0.009604
10,1057.28,2.55534,2.63231,2.75645,0.80695,0.63919,0.74546,0.55044,2.01356,2.04586,2.67289,0.0095545,0.0095545,0.0095545
11,1162.64,2.5314,2.59576,2.73149,0.81517,0.64758,0.75019,0.54806,2.04866,2.01154,2.69533,0.009505,0.009505,0.009505
12,1268.16,2.53596,2.55629,2.71858,0.77049,0.65149,0.73632,0.53952,2.04203,2.14179,2.70485,0.0094555,0.0094555,0.0094555
13,1373.66,2.48893,2.50347,2.69465,0.7757,0.64934,0.73867,0.53669,2.07579,2.11125,2.71808,0.009406,0.009406,0.009406
14,1478.96,2.45363,2.4613,2.67796,0.80109,0.6617,0.75557,0.55663,2.0318,1.9166,2.67988,0.0093565,0.0093565,0.0093565
15,1584.25,2.45621,2.40595,2.6626,0.80204,0.65988,0.74915,0.55453,1.98986,1.90738,2.67231,0.009307,0.009307,0.009307
16,1689.74,2.4448,2.39905,2.66121,0.81019,0.66856,0.76459,0.57004,1.99309,2.00994,2.61943,0.0092575,0.0092575,0.0092575
17,1795.21,2.42406,2.36753,2.64577,0.8109,0.67105,0.77027,0.58555,1.87755,1.84862,2.56692,0.009208,0.009208,0.009208
18,1900.79,2.3909,2.35304,2.62753,0.80527,0.67568,0.77795,0.59523,1.85199,1.83427,2.53731,0.0091585,0.0091585,0.0091585
19,2006.38,2.38979,2.31738,2.61211,0.80278,0.69194,0.78433,0.60442,1.86759,1.75194,2.52011,0.009109,0.009109,0.009109
20,2111.87,2.4032,2.34669,2.62771,0.79941,0.68314,0.77182,0.58735,1.89491,1.82619,2.5483,0.0090595,0.0090595,0.0090595
21,2217.25,2.35055,2.29013,2.59443,0.80887,0.69232,0.78677,0.60947,1.82824,1.73649,2.49461,0.00901,0.00901,0.00901
22,2322.53,2.33179,2.27093,2.60131,0.82953,0.67491,0.77834,0.59607,1.86999,1.78477,2.54713,0.0089605,0.0089605,0.0089605
23,2427.95,2.33336,2.25582,2.57711,0.80512,0.68759,0.77952,0.6078,1.80192,1.75319,2.50541,0.008911,0.008911,0.008911
24,2533.35,2.33077,2.25188,2.5972,0.81842,0.66181,0.76936,0.58864,1.86724,1.84749,2.55196,0.0088615,0.0088615,0.0088615
25,2638.68,2.31606,2.2351,2.57475,0.78611,0.69701,0.78328,0.60893,1.78837,1.73753,2.47859,0.008812,0.008812,0.008812
26,2744.27,2.28035,2.17426,2.56296,0.786,0.6995,0.7849,0.60616,1.84023,1.73657,2.49532,0.0087625,0.0087625,0.0087625
27,2849.67,2.28336,2.19099,2.56072,0.79731,0.70505,0.79634,0.61741,1.78888,1.72246,2.47031,0.008713,0.008713,0.008713
28,2955.15,2.29549,2.18981,2.5627,0.79026,0.71013,0.79521,0.61687,1.81081,1.69863,2.49369,0.0086635,0.0086635,0.0086635
29,3060.7,2.30826,2.20722,2.56389,0.80626,0.70199,0.79213,0.61846,1.74648,1.778,2.45976,0.008614,0.008614,0.008614
30,3166.13,2.285,2.1417,2.55147,0.78541,0.72511,0.79278,0.60874,1.79606,1.70916,2.49523,0.0085645,0.0085645,0.0085645
31,3271.56,2.27879,2.15631,2.54025,0.80521,0.70519,0.79487,0.61596,1.79462,1.70837,2.49792,0.008515,0.008515,0.008515
32,3376.86,2.26943,2.13813,2.54758,0.83147,0.6803,0.79862,0.6223,1.7688,1.71038,2.45375,0.0084655,0.0084655,0.0084655
33,3482.21,2.2516,2.13367,2.52974,0.82826,0.69132,0.80084,0.62672,1.76667,1.65589,2.43643,0.008416,0.008416,0.008416
34,3587.66,2.25237,2.11164,2.52372,0.79504,0.7276,0.80733,0.63302,1.74829,1.60567,2.42687,0.0083665,0.0083665,0.0083665
35,3692.95,2.21122,2.07649,2.51309,0.81285,0.70982,0.80908,0.63574,1.72536,1.62029,2.42884,0.008317,0.008317,0.008317
36,3798.38,2.25502,2.09181,2.51814,0.82082,0.71028,0.80622,0.62801,1.75372,1.65138,2.44211,0.0082675,0.0082675,0.0082675
37,3903.97,2.2342,2.06356,2.5058,0.82262,0.71657,0.81219,0.62716,1.80199,1.61803,2.41738,0.008218,0.008218,0.008218
38,4009.34,2.20648,2.03485,2.50405,0.78959,0.72546,0.80457,0.63013,1.7422,1.60176,2.41555,0.0081685,0.0081685,0.0081685
39,4114.69,2.2159,2.06404,2.50365,0.79589,0.7276,0.80443,0.63614,1.70743,1.62839,2.3879,0.008119,0.008119,0.008119
40,4219.96,2.22249,2.02255,2.50343,0.81408,0.71195,0.81527,0.64024,1.75066,1.57654,2.39354,0.0080695,0.0080695,0.0080695
41,4325.34,2.18597,2.03641,2.48059,0.81215,0.71803,0.8092,0.64061,1.72572,1.58072,2.39564,0.00802,0.00802,0.00802
42,4431.01,2.19985,2.02004,2.47818,0.80115,0.72297,0.80955,0.6368,1.71386,1.60234,2.37241,0.0079705,0.0079705,0.0079705
43,4536.44,2.20155,2.02789,2.48689,0.79753,0.73329,0.81724,0.64088,1.71696,1.5729,2.39452,0.007921,0.007921,0.007921
44,4641.88,2.19395,2.00377,2.47911,0.79966,0.71942,0.80488,0.63128,1.74237,1.60517,2.4287,0.0078715,0.0078715,0.0078715
45,4747.2,2.1703,1.9877,2.47525,0.81685,0.71977,0.81411,0.6483,1.68173,1.55335,2.37162,0.007822,0.007822,0.007822
46,4852.72,2.20537,2.02221,2.48919,0.80298,0.72905,0.81602,0.64907,1.67684,1.56798,2.3705,0.0077725,0.0077725,0.0077725
47,4957.95,2.16573,1.97808,2.46907,0.81344,0.71635,0.81677,0.6464,1.68983,1.53984,2.41642,0.007723,0.007723,0.007723
48,5063.33,2.17497,1.97986,2.47033,0.83375,0.71728,0.8187,0.6455,1.71011,1.551,2.37051,0.0076735,0.0076735,0.0076735
49,5168.7,2.1434,1.94571,2.44728,0.80578,0.73771,0.82517,0.65353,1.67934,1.50693,2.38487,0.007624,0.007624,0.007624
50,5273.98,2.14101,1.95758,2.45024,0.80454,0.7392,0.8212,0.64646,1.70209,1.53073,2.3933,0.0075745,0.0075745,0.0075745
51,5379.42,2.13638,1.94475,2.44828,0.81522,0.72329,0.81381,0.64638,1.68428,1.53977,2.35957,0.007525,0.007525,0.007525
52,5484.84,2.15542,1.95187,2.44508,0.81047,0.73755,0.82285,0.65346,1.66704,1.52486,2.34772,0.0074755,0.0074755,0.0074755
53,5590.33,2.1379,1.91437,2.44882,0.82015,0.72937,0.82173,0.65259,1.66271,1.523,2.35482,0.007426,0.007426,0.007426
54,5695.73,2.12849,1.91228,2.44168,0.79572,0.73044,0.81519,0.64333,1.67416,1.54764,2.35395,0.0073765,0.0073765,0.0073765
55,5801.2,2.11404,1.91701,2.44001,0.83741,0.72902,0.82127,0.65355,1.67001,1.51189,2.34774,0.007327,0.007327,0.007327
56,5906.6,2.13803,1.93109,2.441,0.79918,0.74751,0.82379,0.6582,1.65417,1.51067,2.33238,0.0072775,0.0072775,0.0072775
57,6012.01,2.11793,1.8875,2.42755,0.81101,0.72795,0.81968,0.64535,1.67723,1.51725,2.3642,0.007228,0.007228,0.007228
58,6117.31,2.10871,1.88685,2.42819,0.79987,0.74335,0.82254,0.65265,1.66523,1.51486,2.33497,0.0071785,0.0071785,0.0071785
59,6222.83,2.11259,1.88008,2.42272,0.81728,0.73963,0.82647,0.65851,1.64815,1.5192,2.35845,0.007129,0.007129,0.007129
60,6328.24,2.10158,1.87629,2.41777,0.80331,0.75036,0.82461,0.66027,1.6451,1.47543,2.33069,0.0070795,0.0070795,0.0070795
61,6433.63,2.10362,1.86149,2.41729,0.81074,0.74491,0.82325,0.65687,1.65661,1.4939,2.33497,0.00703,0.00703,0.00703
62,6538.97,2.09182,1.84915,2.41414,0.80285,0.73862,0.82256,0.65824,1.63258,1.46771,2.32233,0.0069805,0.0069805,0.0069805
63,6644.31,2.08966,1.85095,2.40809,0.81302,0.73435,0.8235,0.65739,1.64508,1.47119,2.3263,0.006931,0.006931,0.006931
64,6749.72,2.07466,1.83493,2.40595,0.80228,0.74787,0.82247,0.65906,1.63753,1.48455,2.33632,0.0068815,0.0068815,0.0068815
65,6855.19,2.08908,1.85353,2.414,0.82545,0.72262,0.82491,0.66103,1.64172,1.47571,2.33717,0.006832,0.006832,0.006832
66,6960.69,2.07424,1.85083,2.39189,0.80352,0.73933,0.82485,0.65886,1.64808,1.46574,2.31728,0.0067825,0.0067825,0.0067825
67,7066.15,2.08492,1.82206,2.39905,0.81003,0.73329,0.82071,0.65812,1.62508,1.48036,2.31616,0.006733,0.006733,0.006733
68,7171.43,2.06595,1.81779,2.38279,0.79934,0.74512,0.82435,0.65794,1.62993,1.49143,2.31032,0.0066835,0.0066835,0.0066835
69,7276.76,2.06276,1.80799,2.3892,0.80619,0.74111,0.82665,0.66034,1.62664,1.45224,2.32244,0.006634,0.006634,0.006634
70,7382.14,2.06514,1.82021,2.38689,0.82169,0.73044,0.82681,0.66293,1.61105,1.48871,2.30438,0.0065845,0.0065845,0.0065845
71,7487.7,2.06356,1.81311,2.38588,0.79335,0.7564,0.82422,0.66328,1.61679,1.47846,2.29506,0.006535,0.006535,0.006535
72,7593.01,2.05422,1.79828,2.38351,0.81492,0.73898,0.82733,0.66599,1.60355,1.44762,2.28335,0.0064855,0.0064855,0.0064855
73,7698.47,2.02577,1.77347,2.37066,0.79906,0.75091,0.8272,0.66285,1.60032,1.48724,2.30605,0.006436,0.006436,0.006436
74,7803.92,2.05848,1.80531,2.38719,0.80855,0.75178,0.82714,0.66695,1.60548,1.45848,2.30939,0.0063865,0.0063865,0.0063865
75,7909.38,2.04816,1.76637,2.3771,0.79123,0.75996,0.83037,0.66898,1.60322,1.46676,2.30146,0.006337,0.006337,0.006337
76,8014.73,2.01509,1.76543,2.37276,0.80273,0.73364,0.82199,0.65962,1.6072,1.49923,2.31358,0.0062875,0.0062875,0.0062875
77,8120.31,2.04768,1.76812,2.37005,0.80978,0.73613,0.82214,0.66262,1.60846,1.48522,2.3066,0.006238,0.006238,0.006238
78,8225.57,2.03496,1.78339,2.3814,0.78417,0.75713,0.82228,0.6641,1.60359,1.50068,2.30292,0.0061885,0.0061885,0.0061885
79,8330.88,2.03223,1.74377,2.35669,0.80559,0.75152,0.82715,0.66365,1.60277,1.46988,2.30422,0.006139,0.006139,0.006139
80,8436.23,2.02035,1.73541,2.35991,0.81477,0.73755,0.82697,0.66243,1.62117,1.4564,2.32496,0.0060895,0.0060895,0.0060895
81,8541.68,2.01279,1.74991,2.35322,0.78698,0.75676,0.82712,0.66669,1.60479,1.45962,2.313,0.00604,0.00604,0.00604
82,8646.91,2.00029,1.7386,2.35494,0.79966,0.74253,0.82666,0.66816,1.6006,1.4677,2.30189,0.0059905,0.0059905,0.0059905
83,8752.25,2.01495,1.73188,2.35645,0.81289,0.7468,0.82853,0.66863,1.60505,1.46398,2.30162,0.005941,0.005941,0.005941
84,8857.67,2.00317,1.73051,2.36398,0.82019,0.73807,0.82859,0.66972,1.59272,1.44987,2.28748,0.0058915,0.0058915,0.0058915
