epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.909,1.1469,2.01433,1.42164,0.69267,0.64189,0.7052,0.40128,1.2241,1.86513,1.66598,0.0033156,0.0033156,0.0033156
2,275.352,1.15281,1.43866,1.42472,0.71695,0.66501,0.68596,0.43005,1.2161,1.49067,1.63713,0.00661602,0.00661602,0.00661602
3,411.477,1.22965,1.37655,1.49059,0.66994,0.5665,0.606,0.27385,1.66892,1.83259,2.19743,0.00988345,0.00988345,0.00988345
4,545.688,1.31402,1.42215,1.58006,0.69998,0.57255,0.63745,0.32923,1.58762,1.82499,2.07341,0.0098515,0.0098515,0.0098515
5,679.84,1.28943,1.35992,1.56555,0.74024,0.59791,0.67625,0.42213,1.37206,1.42064,1.88858,0.009802,0.009802,0.009802
6,814.066,1.2513,1.29674,1.53783,0.77617,0.65398,0.70991,0.47151,1.21601,1.24414,1.73459,0.0097525,0.0097525,0.0097525
7,947.541,1.2362,1.2754,1.52513,0.79821,0.61878,0.70792,0.45018,1.32077,1.31366,1.84501,0.009703,0.009703,0.009703
8,1080.71,1.22195,1.23677,1.50523,0.80934,0.65861,0.75232,0.52693,1.11808,1.13587,1.66726,0.0096535,0.0096535,0.0096535
9,1214.25,1.20044,1.21496,1.49743,0.79963,0.64616,0.74232,0.48734,1.23488,1.17781,1.69419,0.009604,0.009604,0.009604
10,1346.74,1.17239,1.17736,1.47445,0.80224,0.66938,0.76203,0.53738,1.11113,1.06857,1.63152,0.0095545,0.0095545,0.0095545
11,1479.02,1.16629,1.16545,1.47164,0.7969,0.67603,0.76731,0.54223,1.08626,1.05487,1.56662,0.009505,0.009505,0.009505
12,1611.87,1.16442,1.14943,1.46518,0.80944,0.6867,0.77536,0.56311,1.04806,1.02974,1.57485,0.0094555,0.0094555,0.0094555
13,1745.37,1.14071,1.12822,1.44861,0.78623,0.69714,0.7822,0.56997,1.00706,0.98852,1.53717,0.009406,0.009406,0.009406
14,1878.25,1.12436,1.09762,1.4378,0.79038,0.69188,0.75934,0.53439,1.10522,1.03544,1.60905,0.0093565,0.0093565,0.0093565
15,2010.97,1.12074,1.09144,1.42828,0.77726,0.68499,0.75677,0.53087,1.08998,1.05148,1.58689,0.009307,0.009307,0.009307
16,2143.55,1.12265,1.0836,1.43073,0.796,0.69701,0.78514,0.56678,1.02103,0.98746,1.53813,0.0092575,0.0092575,0.0092575
17,2276.23,1.11258,1.06719,1.41671,0.77175,0.72264,0.79827,0.59072,0.97068,0.94045,1.47328,0.009208,0.009208,0.009208
18,2410.21,1.10116,1.05254,1.41513,0.82786,0.6931,0.79125,0.58138,0.99236,1.00549,1.47501,0.0091585,0.0091585,0.0091585
19,2543.79,1.09387,1.04499,1.40313,0.78349,0.72368,0.79116,0.58739,0.96263,0.9775,1.46708,0.009109,0.009109,0.009109
20,2676.98,1.1026,1.05346,1.40992,0.80453,0.6899,0.7863,0.57566,1.01244,0.97813,1.50537,0.0090595,0.0090595,0.0090595
21,2809.46,1.0794,1.02864,1.39189,0.81629,0.70341,0.80196,0.59693,0.96954,0.90869,1.46291,0.00901,0.00901,0.00901
22,2941.67,1.07005,1.01709,1.3927,0.79252,0.71515,0.80253,0.59564,0.96495,0.9578,1.48133,0.0089605,0.0089605,0.0089605
23,3074.05,1.0652,1.00765,1.38082,0.77809,0.71159,0.79265,0.58901,0.97615,0.94597,1.50157,0.008911,0.008911,0.008911
24,3206.33,1.06907,1.01732,1.39484,0.80906,0.71017,0.80978,0.60516,0.93518,0.90331,1.44507,0.0088615,0.0088615,0.0088615
25,3339.16,1.0572,0.99985,1.38267,0.80158,0.70875,0.79799,0.59005,0.9693,0.92137,1.4748,0.008812,0.008812,0.008812
26,3471.77,1.04681,0.98197,1.36895,0.79101,0.73115,0.81314,0.61592,0.91808,0.87579,1.41387,0.0087625,0.0087625,0.0087625
27,3604.58,1.05442,0.99358,1.37559,0.79693,0.73862,0.81232,0.62056,0.91273,0.85162,1.41277,0.008713,0.008713,0.008713
28,3737.4,1.05097,0.97587,1.37008,0.82732,0.7122,0.81158,0.61964,0.9203,0.85689,1.4287,0.0086635,0.0086635,0.0086635
29,3870.56,1.05833,0.9826,1.36953,0.8092,0.73293,0.8186,0.62428,0.89342,0.85218,1.39594,0.008614,0.008614,0.008614
30,4003.21,1.03586,0.96197,1.35749,0.81451,0.71622,0.81825,0.63079,0.88256,0.81609,1.38077,0.0085645,0.0085645,0.0085645
31,4135.55,1.03797,0.96195,1.36038,0.79119,0.734,0.81284,0.6134,0.91883,0.84993,1.41067,0.008515,0.008515,0.008515
32,4268.07,1.03673,0.96322,1.35607,0.78646,0.74656,0.8155,0.62459,0.89556,0.83964,1.38835,0.0084655,0.0084655,0.0084655
33,4400.4,1.03127,0.95477,1.35348,0.80142,0.73911,0.82198,0.62221,0.92036,0.85455,1.41097,0.008416,0.008416,0.008416
34,4532.87,1.02884,0.94812,1.34779,0.77282,0.7596,0.82421,0.63224,0.8847,0.82362,1.38134,0.0083665,0.0083665,0.0083665
35,4665.42,1.00947,0.93418,1.34061,0.8252,0.71124,0.81847,0.63107,0.88468,0.85606,1.38238,0.008317,0.008317,0.008317
36,4798.62,1.0279,0.93882,1.34133,0.81559,0.7155,0.80869,0.6193,0.9108,0.87383,1.39618,0.0082675,0.0082675,0.0082675
37,4931.66,1.01945,0.9238,1.33807,0.80215,0.73388,0.8222,0.6246,0.90875,0.83511,1.40021,0.008218,0.008218,0.008218
38,5065.24,1.00308,0.91456,1.33194,0.80109,0.72186,0.81447,0.6223,0.90301,0.87641,1.3889,0.0081685,0.0081685,0.0081685
39,5198.23,1.00858,0.92439,1.33396,0.80096,0.73844,0.82438,0.64023,0.87545,0.80612,1.36253,0.008119,0.008119,0.008119
40,5331.12,1.0091,0.90495,1.33023,0.798,0.73435,0.82171,0.63823,0.87164,0.8138,1.34966,0.0080695,0.0080695,0.0080695
41,5463.79,0.99945,0.91376,1.32544,0.79856,0.73448,0.82204,0.63354,0.87358,0.81291,1.36231,0.00802,0.00802,0.00802
42,5597.22,0.99953,0.90101,1.32247,0.82913,0.72048,0.82766,0.63742,0.88798,0.82792,1.36507,0.0079705,0.0079705,0.0079705
43,5729.95,0.99788,0.90758,1.32474,0.82944,0.71444,0.82509,0.63677,0.87462,0.81154,1.36015,0.007921,0.007921,0.007921
44,5862.28,0.99364,0.89752,1.31956,0.80001,0.74256,0.82027,0.63582,0.87538,0.81065,1.37105,0.0078715,0.0078715,0.0078715
45,5994.47,0.98786,0.89015,1.31395,0.81127,0.72653,0.82267,0.6323,0.88759,0.82121,1.37274,0.007822,0.007822,0.007822
46,6126.86,0.99604,0.89896,1.32084,0.79804,0.75036,0.82785,0.64425,0.8726,0.81383,1.35391,0.0077725,0.0077725,0.0077725
47,6259.42,0.98521,0.88454,1.31452,0.79676,0.74004,0.82564,0.64075,0.86336,0.81145,1.3629,0.007723,0.007723,0.007723
