epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0112,2.33806,10.2473,2.55773,0.63583,0.07921,0.24892,0.16093,1.85688,11.5479,2.98109,0.000656085,0.000656085,0.000656085
2,69.9187,2.79029,7.36206,2.85231,0.1668,0.11386,0.07564,0.03303,3.61905,7.99881,4.50276,0.0013162,0.0013162,0.0013162
3,104.974,2.93983,5.52726,2.94996,0.26693,0.32178,0.22622,0.09289,3.51146,18.0543,4.81871,0.00196972,0.00196972,0.00196972
4,139.813,2.96619,4.65477,2.93146,0.14775,0.37129,0.12856,0.05825,3.47624,9.38964,5.46952,0.0019703,0.0019703,0.0019703
5,174.927,2.94876,4.25819,2.91262,0.35097,0.52228,0.37726,0.22038,2.49896,5.50493,3.37373,0.0019604,0.0019604,0.0019604
6,209.908,2.79647,3.87864,2.86064,0.53338,0.59653,0.59003,0.40593,2.17455,3.28441,3.15919,0.0019505,0.0019505,0.0019505
7,245.139,2.73178,3.72515,2.78095,0.62064,0.56436,0.62079,0.41329,2.38804,3.00666,3.2246,0.0019406,0.0019406,0.0019406
8,280.207,2.74131,3.55047,2.77907,0.6146,0.64356,0.63383,0.46672,2.02691,2.79036,2.91472,0.0019307,0.0019307,0.0019307
9,315.464,2.67031,3.37749,2.7242,0.65998,0.60891,0.65432,0.48658,1.92469,2.46942,2.8158,0.0019208,0.0019208,0.0019208
10,350.527,2.53163,3.26595,2.65214,0.63377,0.5697,0.63407,0.47515,1.86413,2.34062,2.75097,0.0019109,0.0019109,0.0019109
11,385.499,2.51128,3.18894,2.62035,0.68255,0.56412,0.65239,0.45634,2.09022,2.61744,2.95136,0.001901,0.001901,0.001901
12,420.474,2.46972,3.09573,2.58472,0.67599,0.63518,0.7099,0.54971,1.85117,2.15534,2.68142,0.0018911,0.0018911,0.0018911
