epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.351,1.65732,3.91358,2.14643,0.71804,0.63929,0.7335,0.59622,1.38634,2.58854,2.02384,0.00332268,0.00332268,0.00332268
2,355.887,1.88542,2.55684,2.24622,0.76331,0.6564,0.74954,0.57843,1.7063,2.15369,2.26199,0.00662307,0.00662307,0.00662307
3,532.03,2.13652,2.51226,2.39734,0.52861,0.40255,0.44027,0.23194,3.08971,4.52151,3.66525,0.00989046,0.00989046,0.00989046
4,708.185,2.32172,2.55561,2.5177,0.74159,0.58553,0.68433,0.50537,1.98528,2.53756,2.51575,0.0098515,0.0098515,0.0098515
5,884.58,2.21526,2.3414,2.45343,0.76952,0.66621,0.75707,0.57622,1.80351,2.10283,2.37638,0.009802,0.009802,0.009802
6,1061.02,2.11626,2.19677,2.4133,0.7835,0.65955,0.75516,0.58365,1.758,1.94093,2.30585,0.0097525,0.0097525,0.0097525
7,1237.38,2.05873,2.10643,2.37354,0.80933,0.69714,0.80463,0.63127,1.63996,1.72203,2.27268,0.009703,0.009703,0.009703
8,1413.72,2.00954,2.00927,2.34336,0.82729,0.69283,0.8016,0.64031,1.62157,1.70297,2.20461,0.0096535,0.0096535,0.0096535
9,1590.1,1.97625,1.96689,2.32791,0.82539,0.7026,0.80682,0.64051,1.59668,1.68415,2.21976,0.009604,0.009604,0.009604
10,1766.42,1.93778,1.91925,2.29793,0.8234,0.72876,0.82649,0.66486,1.5176,1.54713,2.16576,0.0095545,0.0095545,0.0095545
11,1942.69,1.88048,1.85977,2.27536,0.83587,0.73285,0.83411,0.68777,1.42754,1.48473,2.08888,0.009505,0.009505,0.009505
12,2119.08,1.87067,1.82283,2.26296,0.83275,0.75079,0.84467,0.69325,1.4223,1.47563,2.08661,0.0094555,0.0094555,0.0094555
