normal run real,14.79,15.31,14.88,14.77,14.98,14.6,14.91,14.71,14.84,14.76,avg,14.854999999999999
normal run user,14.4,14.98,14.5,14.44,14.66,14.23,14.56,14.36,14.49,14.38,avg,14.5
normal run sys,0.34,0.3,0.35,0.29,0.28,0.33,0.31,0.31,0.32,0.34,avg,0.317
pin run prof time 1 real,19.44,19.61,19.36,19.91,20.1,18.44,18.71,18.89,19.12,19.29,avg,19.287
pin run prof time 1 user,19.09,19.27,19.05,19.4,19.67,16.29,15.57,16.34,18.83,18.92,avg,18.243000000000002
pin run prof time 1 sys,0.8,0.75,0.76,0.92,0.73,2.53,3.57,2.97,0.72,0.78,avg,1.453
pin run prof time 1 create tc,3.63,3.65,3.73,3.68,3.69,3.53,3.56,3.53,3.78,3.65,avg,3.643
pin run prof time 2 real,19.87,19.86,20.04,19.78,19.85,19.71,19.59,19.52,19.77,19.27,avg,19.726000000000006
pin run prof time 2 user,19.51,19.49,19.7,19.39,19.48,19.32,19.26,18.14,17.03,15.74,avg,18.706000000000003
pin run prof time 2 sys,0.75,0.8,0.79,0.82,0.81,0.8,0.77,1.78,3.2,3.95,avg,1.4469999999999998
pin run prof time 2 create tc,3.64,3.68,3.64,3.69,3.74,3.66,3.63,3.69,3.57,3.58,avg,3.6519999999999997
pin run prof time 3 real,20.36,20.64,20.41,20.58,21.46,21.16,20.46,20.46,19.91,20.43,avg,20.587
pin run prof time 3 user,17.77,20.19,20.02,20.12,21.07,20.64,20.16,17.75,17.69,19.99,avg,19.540000000000003
pin run prof time 3 sys,3.1,0.86,0.79,0.9,0.84,0.95,0.72,3.17,2.66,0.83,avg,1.482
pin run prof time 3 create tc,3.56,3.64,3.68,3.67,3.74,3.7,3.67,3.53,3.58,3.69,avg,3.6459999999999995
pin run prof time 4 real,20.51,20.48,20.93,21.02,21.2,20.86,21.12,21.11,21.22,21.85,avg,21.03
pin run prof time 4 user,19.47,18.49,17.88,20.45,20.8,20.47,20.68,20.71,20.91,21.21,avg,20.107
pin run prof time 4 sys,1.43,2.37,3.46,1.01,0.8,0.81,0.93,0.8,0.75,1.01,avg,1.3370000000000002
pin run prof time 4 create tc,3.6,3.52,3.59,3.74,3.66,3.63,3.66,3.69,3.65,4.1,avg,3.684
pin run prof time 5 real,21.63,21.06,21.09,20.7,21.28,21.39,21.2,21.69,21.11,21.48,avg,21.262999999999998
pin run prof time 5 user,21.28,17.77,18.4,17.7,21.01,21.06,17.33,21.14,20.64,21.11,avg,19.744
pin run prof time 5 sys,0.8,3.73,3.09,3.42,0.68,0.77,4.27,0.92,0.91,0.78,avg,1.937
pin run prof time 5 create tc,3.91,3.59,3.59,3.56,3.64,3.64,3.59,3.52,3.64,3.65,avg,3.633
pin run prof time 6 real,21.75,21.74,21.89,21.93,21.87,21.59,21.84,22.05,21.71,21.49,avg,21.786000000000005
pin run prof time 6 user,21.48,20.98,21.69,21.58,21.39,19.92,21.79,18.18,20.02,18.09,avg,20.512000000000004
pin run prof time 6 sys,0.69,1.14,0.7,0.73,0.85,2.09,0.45,3.82,2.1,3.35,avg,1.5919999999999999
pin run prof time 6 create tc,3.66,3.69,3.64,3.76,3.79,3.54,3.56,3.59,3.55,3.54,avg,3.6319999999999992
