normal run real,12.06,12.19,12.1,11.81,12.38,11.97,12.38,12.05,12.11,12.26,avg,12.131
normal run user,10.32,10.2,10.46,9.89,10.36,9.89,9.52,11.21,10.32,10.28,avg,10.245
normal run sys,1.69,1.95,1.6,1.89,1.99,2.05,2.83,0.8,1.76,1.93,avg,1.8489999999999998
pin run prof time 1 real,16.76,17.02,16.34,16.45,16.79,15.95,16.59,16.61,16.12,16.99,avg,16.562000000000005
pin run prof time 1 user,13.74,15.81,14.55,14.43,16.43,14.18,13.59,14.96,13.22,15.26,avg,14.617
pin run prof time 1 sys,3.35,1.6,2.15,2.39,0.72,2.13,3.36,2.01,3.24,2.1,avg,2.3050000000000006
pin run prof time 1 create tc,3.29,3.3,3.18,3.29,3.21,3.14,3.15,3.14,3.14,3.16,avg,3.2
pin run prof time 2 real,16.93,17.11,16.86,17.54,16.96,17.3,16.86,17.38,17.06,17.21,avg,17.121000000000002
pin run prof time 2 user,14.68,14.09,14.07,17.19,16.13,14.46,14.78,15.53,15.08,16.93,avg,15.294000000000002
pin run prof time 2 sys,2.6,3.39,3.16,0.7,1.17,3.22,2.44,2.21,2.34,0.65,avg,2.1879999999999997
pin run prof time 2 create tc,3.27,3.2,3.17,3.26,3.27,3.16,3.15,3.29,3.19,3.35,avg,3.2310000000000003
pin run prof time 3 real,17.97,17.67,17.61,17.56,17.74,17.6,17.67,17.74,17.59,17.79,avg,17.694
pin run prof time 3 user,17.47,15.85,12.75,17.2,15.67,13.7,17.62,17.26,17.14,17.5,avg,16.216
pin run prof time 3 sys,0.87,2.16,5.28,0.73,2.44,4.31,0.41,0.88,0.83,0.67,avg,1.8579999999999999
pin run prof time 3 create tc,3.27,3.2,3.14,3.2,3.28,3.14,3.13,3.2,3.19,3.33,avg,3.2080000000000006
pin run prof time 4 real,18.08,17.96,18.4,17.97,17.84,18.39,17.66,18.1,18.01,18.22,avg,18.063
pin run prof time 4 user,17.22,16.22,17.57,15.16,15.59,13.3,15.68,16.39,16.3,16.37,avg,15.98
pin run prof time 4 sys,1.23,2.1,1.19,3.18,2.62,5.04,2.34,2.07,2.06,2.21,avg,2.404
pin run prof time 4 create tc,3.21,3.18,3.16,3.17,3.31,3.16,3.17,3.16,3.2,3.3,avg,3.2019999999999995
pin run prof time 5 real,18.4,18.73,19.01,18.73,18.67,18.6,18.1,18.61,18.37,18.21,avg,18.543000000000003
pin run prof time 5 user,16.32,16.57,15.9,17.23,16.45,18.29,17.3,16.75,17.54,17.81,avg,17.016
pin run prof time 5 sys,2.44,2.52,3.06,1.86,2.62,0.68,1.16,1.81,1.18,0.75,avg,1.8079999999999998
pin run prof time 5 create tc,3.2,3.17,3.15,3.16,3.14,3.13,3.18,3.14,3.14,3.18,avg,3.159
pin run prof time 6 real,19.01,19.12,19.16,18.75,19.32,18.67,18.96,19.18,18.85,18.89,avg,18.991000000000003
pin run prof time 6 user,16.16,17.11,15.1,16.24,18.96,15.29,16.31,16.38,17.24,16.71,avg,16.55
pin run prof time 6 sys,3.22,2.4,4.01,2.88,0.68,3.74,3.02,3.18,1.98,2.55,avg,2.766
pin run prof time 6 create tc,3.28,3.15,3.16,3.31,3.23,3.16,3.17,3.19,3.23,3.18,avg,3.2060000000000004
