epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.049,1.09069,1.61368,1.24657,0.79101,0.69856,0.76883,0.5788,0.8943,1.12168,1.23279,0.00332268,0.00332268,0.00332268
2,223.606,1.12553,1.25013,1.27744,0.77772,0.6684,0.74689,0.53537,1.00432,1.15768,1.34393,0.00662307,0.00662307,0.00662307
3,334.507,1.2088,1.25151,1.34694,0.64318,0.48607,0.5157,0.27412,1.65674,1.76139,2.01901,0.00989046,0.00989046,0.00989046
4,445.528,1.28021,1.28555,1.40251,0.76685,0.5954,0.67799,0.46206,1.14471,1.25303,1.46918,0.0098515,0.0098515,0.0098515
5,556.589,1.25038,1.22686,1.38309,0.78052,0.63504,0.70209,0.49475,1.11423,1.16166,1.46119,0.009802,0.009802,0.009802
6,667.706,1.21298,1.16896,1.36815,0.80584,0.65756,0.74342,0.54188,1.05788,1.07479,1.39288,0.0097525,0.0097525,0.0097525
7,779.023,1.2007,1.14095,1.35141,0.80087,0.66847,0.7564,0.54804,1.05477,1.00158,1.38029,0.009703,0.009703,0.009703
8,890.035,1.18647,1.1186,1.33995,0.80771,0.67007,0.7663,0.57074,0.98452,0.92629,1.31675,0.0096535,0.0096535,0.0096535
9,1000.91,1.1632,1.08876,1.3299,0.82332,0.68027,0.76845,0.57233,0.97522,0.91899,1.33773,0.009604,0.009604,0.009604
10,1112.19,1.15202,1.07774,1.31903,0.80677,0.69138,0.77816,0.58054,0.96981,0.94955,1.2958,0.0095545,0.0095545,0.0095545
11,1223.94,1.13659,1.05306,1.31136,0.79772,0.70407,0.78608,0.59221,0.94279,0.91816,1.29711,0.009505,0.009505,0.009505
12,1335.03,1.13236,1.05236,1.3053,0.81004,0.69155,0.78441,0.58322,0.97623,0.90623,1.30763,0.0094555,0.0094555,0.0094555
13,1446.1,1.1197,1.02258,1.29901,0.80558,0.70782,0.79104,0.59683,0.92795,0.86472,1.27955,0.009406,0.009406,0.009406
14,1556.78,1.1069,1.01657,1.29017,0.81754,0.69927,0.79098,0.59747,0.94233,0.8715,1.27919,0.0093565,0.0093565,0.0093565
15,1667.73,1.10981,1.0153,1.29464,0.792,0.70886,0.7899,0.59985,0.90949,0.85711,1.27921,0.009307,0.009307,0.009307
16,1778.78,1.09146,0.99335,1.28285,0.80397,0.71366,0.79455,0.6076,0.89832,0.86322,1.23687,0.0092575,0.0092575,0.0092575
17,1889.32,1.0868,0.98591,1.28,0.82566,0.71015,0.79865,0.6133,0.89962,0.8213,1.24203,0.009208,0.009208,0.009208
18,2000.62,1.08276,0.98649,1.27207,0.82342,0.71241,0.80398,0.62194,0.88187,0.7894,1.21743,0.0091585,0.0091585,0.0091585
19,2111.43,1.07704,0.97401,1.27424,0.81538,0.71512,0.80627,0.62085,0.8855,0.8234,1.2323,0.009109,0.009109,0.009109
20,2222.14,1.07503,0.96822,1.26702,0.82099,0.71595,0.80668,0.62666,0.86621,0.78442,1.2286,0.0090595,0.0090595,0.0090595
21,2333.5,1.06916,0.95251,1.26357,0.79461,0.73285,0.80867,0.62987,0.85851,0.77962,1.20711,0.00901,0.00901,0.00901
22,2444.66,1.06747,0.96367,1.26259,0.80817,0.71871,0.80779,0.62592,0.86477,0.79945,1.21632,0.0089605,0.0089605,0.0089605
23,2555.48,1.06731,0.94438,1.2597,0.82006,0.71095,0.80355,0.62561,0.8691,0.804,1.21467,0.008911,0.008911,0.008911
24,2666.63,1.06029,0.94349,1.26174,0.80843,0.7366,0.81296,0.63648,0.85288,0.77006,1.1979,0.0088615,0.0088615,0.0088615
25,2777.22,1.06267,0.93979,1.25532,0.82707,0.71491,0.81232,0.63816,0.83924,0.75633,1.19228,0.008812,0.008812,0.008812
26,2888.11,1.04961,0.93494,1.25095,0.80972,0.73014,0.81422,0.63902,0.83561,0.76468,1.19942,0.0087625,0.0087625,0.0087625
27,2999.12,1.05237,0.92243,1.2491,0.81509,0.72346,0.81601,0.63629,0.84793,0.76537,1.19339,0.008713,0.008713,0.008713
28,3110.56,1.04925,0.92496,1.24865,0.8199,0.7263,0.81566,0.63934,0.8238,0.75894,1.17866,0.0086635,0.0086635,0.0086635
29,3221.64,1.03826,0.91267,1.24337,0.81614,0.73139,0.81947,0.64494,0.82769,0.73659,1.17482,0.008614,0.008614,0.008614
30,3332.52,1.03957,0.91203,1.23857,0.80121,0.73994,0.81976,0.64316,0.83303,0.75856,1.1846,0.0085645,0.0085645,0.0085645
31,3443.35,1.03686,0.9052,1.23796,0.81729,0.73696,0.82004,0.64383,0.82612,0.75503,1.18719,0.008515,0.008515,0.008515
32,3554.01,1.03297,0.90029,1.23468,0.82109,0.73577,0.82154,0.65064,0.80345,0.72445,1.16565,0.0084655,0.0084655,0.0084655
33,3664.99,1.02973,0.89789,1.23195,0.82586,0.72595,0.82341,0.65467,0.80961,0.72918,1.16087,0.008416,0.008416,0.008416
34,3775.8,1.0315,0.89739,1.23379,0.81855,0.73758,0.82351,0.64718,0.81659,0.73294,1.1685,0.0083665,0.0083665,0.0083665
35,3886.29,1.02951,0.8844,1.23335,0.80824,0.74515,0.82534,0.6579,0.80817,0.71929,1.1574,0.008317,0.008317,0.008317
36,3997.2,1.01378,0.88895,1.22288,0.81889,0.74411,0.82687,0.65787,0.8137,0.72042,1.1597,0.0082675,0.0082675,0.0082675
37,4108.88,1.02313,0.87871,1.22412,0.82698,0.72765,0.82523,0.65377,0.81172,0.73741,1.15945,0.008218,0.008218,0.008218
38,4219.44,1.01477,0.88344,1.22321,0.81497,0.74202,0.82809,0.65596,0.80767,0.71654,1.16478,0.0081685,0.0081685,0.0081685
39,4330.69,1.01404,0.87703,1.22206,0.81026,0.75016,0.82771,0.65923,0.80071,0.72182,1.15525,0.008119,0.008119,0.008119
40,4441.65,1.01159,0.87295,1.21805,0.8069,0.74223,0.82846,0.65845,0.79356,0.72088,1.15594,0.0080695,0.0080695,0.0080695
41,4552.46,1.00584,0.8695,1.2192,0.81183,0.73931,0.82721,0.66054,0.79446,0.71704,1.16501,0.00802,0.00802,0.00802
42,4663.31,1.01279,0.86632,1.21786,0.81489,0.73906,0.828,0.66175,0.79086,0.71503,1.1492,0.0079705,0.0079705,0.0079705
43,4774.09,1.00679,0.8635,1.21817,0.82063,0.74724,0.83167,0.66578,0.7897,0.70569,1.14067,0.007921,0.007921,0.007921
44,4884.96,1.01496,0.86703,1.22039,0.82513,0.73785,0.83341,0.66565,0.79179,0.69952,1.14251,0.0078715,0.0078715,0.0078715
45,4996.07,1.00563,0.86576,1.2137,0.80844,0.7537,0.83251,0.66487,0.79695,0.70129,1.15336,0.007822,0.007822,0.007822
46,5107.14,0.99921,0.85242,1.21109,0.81279,0.75683,0.83366,0.66686,0.78688,0.69251,1.14669,0.0077725,0.0077725,0.0077725
47,5217.85,0.99471,0.85324,1.20675,0.8196,0.7438,0.83439,0.66881,0.78405,0.69838,1.13831,0.007723,0.007723,0.007723
48,5328.69,0.99785,0.84906,1.20951,0.81698,0.74786,0.83567,0.67026,0.78018,0.69737,1.13456,0.0076735,0.0076735,0.0076735
49,5440.66,0.99135,0.84431,1.20166,0.82155,0.74911,0.83574,0.67126,0.77783,0.69822,1.13763,0.007624,0.007624,0.007624
