epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7582.39,2.20864,1.98372,2.46707,0.81684,0.73012,0.82575,0.66357,1.64229,1.49907,2.27298,0.007921,0.007921,0.007921
44,7758.71,2.21557,1.98592,2.46565,0.79746,0.73743,0.82017,0.66035,1.63406,1.5115,2.27725,0.0078715,0.0078715,0.0078715
45,7934.78,2.20971,1.97303,2.45882,0.82746,0.71324,0.82438,0.66554,1.61911,1.52325,2.2723,0.007822,0.007822,0.007822
46,8110.86,2.19426,1.95657,2.45578,0.80366,0.73597,0.82462,0.66454,1.61921,1.48992,2.27247,0.0077725,0.0077725,0.0077725
47,8287.13,2.1854,1.94715,2.44883,0.80414,0.73264,0.82549,0.66543,1.62921,1.48307,2.26884,0.007723,0.007723,0.007723
48,8463.8,2.19505,1.94774,2.45343,0.80714,0.73754,0.82823,0.66715,1.62553,1.48436,2.2589,0.0076735,0.0076735,0.0076735
49,8639.98,2.18461,1.93129,2.43517,0.80965,0.73804,0.82949,0.6703,1.60888,1.46532,2.26073,0.007624,0.007624,0.007624
50,8816.34,2.18005,1.9508,2.44516,0.81738,0.73264,0.82588,0.66564,1.62171,1.4815,2.2593,0.0075745,0.0075745,0.0075745
51,8992.45,2.17876,1.92477,2.44504,0.80722,0.74401,0.82836,0.6709,1.59662,1.45925,2.25214,0.007525,0.007525,0.007525
52,9168.56,2.16007,1.91025,2.43024,0.80282,0.74381,0.82814,0.66953,1.59729,1.47924,2.25405,0.0074755,0.0074755,0.0074755
53,9344.45,2.17284,1.91636,2.43403,0.82013,0.73408,0.82744,0.6716,1.59234,1.44269,2.25482,0.007426,0.007426,0.007426
54,9520.46,2.16748,1.92895,2.43553,0.81098,0.7391,0.82776,0.67172,1.59825,1.45983,2.24492,0.0073765,0.0073765,0.0073765
55,9696.7,2.16341,1.90663,2.42395,0.80187,0.74369,0.82742,0.67049,1.60185,1.46401,2.248,0.007327,0.007327,0.007327
56,9872.73,2.1674,1.90834,2.43612,0.78652,0.75558,0.82872,0.67397,1.58327,1.46463,2.24246,0.0072775,0.0072775,0.0072775
57,10048.9,2.15284,1.8861,2.42344,0.81373,0.73249,0.83021,0.67264,1.57907,1.46065,2.23017,0.007228,0.007228,0.007228
58,10224.7,2.14402,1.8937,2.41413,0.81246,0.74626,0.83138,0.67469,1.59861,1.4609,2.23915,0.0071785,0.0071785,0.0071785
59,10400.9,2.16043,1.89351,2.42907,0.81292,0.73931,0.83236,0.67662,1.58811,1.45475,2.23628,0.007129,0.007129,0.007129
60,10577,2.13768,1.87361,2.4166,0.80951,0.7487,0.83113,0.67506,1.58848,1.4562,2.23657,0.0070795,0.0070795,0.0070795
61,10753.1,2.14229,1.86935,2.41695,0.81287,0.7414,0.83277,0.67566,1.58409,1.44892,2.23665,0.00703,0.00703,0.00703
62,10929.1,2.1603,1.8776,2.4261,0.81005,0.74794,0.83358,0.67649,1.58819,1.44599,2.24129,0.0069805,0.0069805,0.0069805
63,11104.9,2.14109,1.85265,2.40805,0.80738,0.75328,0.83374,0.67676,1.59434,1.44403,2.2466,0.006931,0.006931,0.006931
64,11280.9,2.14153,1.85054,2.41531,0.81861,0.73978,0.83436,0.67926,1.58542,1.43761,2.23365,0.0068815,0.0068815,0.0068815
65,11456.4,2.13422,1.85563,2.41407,0.81055,0.74161,0.83284,0.67704,1.58136,1.45108,2.2403,0.006832,0.006832,0.006832
66,11632.2,2.12972,1.84063,2.40758,0.80237,0.74828,0.83183,0.67803,1.5762,1.45495,2.2308,0.0067825,0.0067825,0.0067825
67,11808,2.15042,1.87461,2.41963,0.80881,0.74549,0.83338,0.67809,1.57123,1.4421,2.23029,0.006733,0.006733,0.006733
68,11983.7,2.12515,1.83859,2.40423,0.80093,0.74911,0.83368,0.68037,1.56633,1.43768,2.22273,0.0066835,0.0066835,0.0066835
69,12159.4,2.12595,1.84202,2.40171,0.78912,0.76322,0.83471,0.68169,1.56984,1.42793,2.21989,0.006634,0.006634,0.006634
70,12335.1,2.12144,1.81422,2.38893,0.80356,0.75669,0.83573,0.6822,1.56671,1.43104,2.21649,0.0065845,0.0065845,0.0065845
71,12510.9,2.10136,1.80122,2.39316,0.81186,0.74953,0.83426,0.68127,1.5739,1.43333,2.22182,0.006535,0.006535,0.006535
72,12686.6,2.10183,1.82265,2.38767,0.81753,0.74307,0.83517,0.68254,1.56811,1.42666,2.2174,0.0064855,0.0064855,0.0064855
73,12862.2,2.10335,1.81269,2.38671,0.81508,0.75009,0.8375,0.68372,1.56162,1.41937,2.21232,0.006436,0.006436,0.006436
74,13038.1,2.09143,1.80529,2.37594,0.81194,0.75162,0.83781,0.68344,1.56034,1.42293,2.21557,0.0063865,0.0063865,0.0063865
75,13213.7,2.09163,1.78732,2.38542,0.80578,0.75558,0.83742,0.68472,1.5584,1.41854,2.21606,0.006337,0.006337,0.006337
76,13389.4,2.08326,1.80219,2.3746,0.80105,0.75491,0.83575,0.68423,1.56303,1.41874,2.2198,0.0062875,0.0062875,0.0062875
77,13565,2.08803,1.79202,2.38696,0.80504,0.7537,0.83639,0.68328,1.55984,1.42273,2.21712,0.006238,0.006238,0.006238
78,13740.8,2.08873,1.77894,2.37105,0.8036,0.75175,0.83525,0.68238,1.55225,1.41781,2.21232,0.0061885,0.0061885,0.0061885
79,13916.7,2.09576,1.78351,2.36423,0.80092,0.75595,0.83572,0.6832,1.55106,1.4197,2.2133,0.006139,0.006139,0.006139
80,14092.4,2.07486,1.75078,2.37314,0.80318,0.75224,0.83552,0.6839,1.54774,1.42428,2.21156,0.0060895,0.0060895,0.0060895
81,14268.1,2.08021,1.75131,2.36761,0.80303,0.75391,0.83533,0.68311,1.55337,1.42316,2.21382,0.00604,0.00604,0.00604
82,14443.8,2.09865,1.76361,2.37234,0.81106,0.74578,0.83413,0.6826,1.55463,1.42499,2.21005,0.0059905,0.0059905,0.0059905
83,14619.8,2.06554,1.75027,2.35808,0.81632,0.74098,0.83471,0.68398,1.55328,1.42376,2.20949,0.005941,0.005941,0.005941
84,14795.4,2.05394,1.74166,2.36352,0.80285,0.75224,0.83544,0.68427,1.54726,1.42115,2.20534,0.0058915,0.0058915,0.0058915
85,14971.3,2.06318,1.73192,2.35796,0.807,0.74995,0.83426,0.68388,1.54412,1.42846,2.20264,0.005842,0.005842,0.005842
86,15147.2,2.06297,1.74006,2.35784,0.80726,0.75287,0.83567,0.6863,1.53918,1.42779,2.20275,0.0057925,0.0057925,0.0057925
87,15322.9,2.03732,1.73351,2.35317,0.81917,0.74369,0.83627,0.68573,1.53627,1.42588,2.2023,0.005743,0.005743,0.005743
88,15498.5,2.07228,1.73276,2.35551,0.81961,0.74202,0.83524,0.68541,1.53607,1.42712,2.20294,0.0056935,0.0056935,0.0056935
89,15674.3,2.07249,1.74601,2.36504,0.81419,0.74786,0.83524,0.68468,1.53674,1.42295,2.20151,0.005644,0.005644,0.005644
90,15850.2,2.0662,1.74082,2.35927,0.81299,0.74795,0.8362,0.68543,1.53556,1.42347,2.202,0.0055945,0.0055945,0.0055945
91,16025.8,2.0726,1.74101,2.36065,0.81616,0.74901,0.83654,0.68538,1.53843,1.42002,2.2028,0.005545,0.005545,0.005545
92,16201.3,2.06624,1.72855,2.34447,0.81408,0.74879,0.83628,0.68584,1.5394,1.41872,2.20167,0.0054955,0.0054955,0.0054955
93,16377.2,2.06104,1.72513,2.35123,0.81913,0.74348,0.83645,0.68594,1.53861,1.41947,2.19992,0.005446,0.005446,0.005446
94,16553,2.04485,1.71509,2.34183,0.81048,0.75182,0.83711,0.68572,1.53685,1.42098,2.19978,0.0053965,0.0053965,0.0053965
95,16728.5,2.04754,1.69621,2.34582,0.81588,0.74855,0.83684,0.68593,1.53714,1.41836,2.20081,0.005347,0.005347,0.005347
96,16904.3,2.05054,1.73031,2.35325,0.81675,0.74919,0.83678,0.68563,1.53805,1.41622,2.20136,0.0052975,0.0052975,0.0052975
97,17079.7,2.03333,1.6811,2.34456,0.81317,0.74828,0.83648,0.68588,1.53891,1.42014,2.20223,0.005248,0.005248,0.005248
98,17255.2,2.02228,1.6844,2.34002,0.81555,0.74703,0.8369,0.68637,1.53897,1.41923,2.20276,0.0051985,0.0051985,0.0051985
99,17430.8,2.03648,1.69377,2.33365,0.81457,0.74682,0.83707,0.68637,1.53987,1.41501,2.20208,0.005149,0.005149,0.005149
100,17606.6,2.03102,1.68895,2.33941,0.81016,0.74786,0.83636,0.68604,1.54023,1.41667,2.20329,0.0050995,0.0050995,0.0050995
101,17782.2,2.00536,1.68017,2.33072,0.80687,0.75194,0.83622,0.68593,1.53936,1.41785,2.20403,0.00505,0.00505,0.00505
102,17958,2.02435,1.67556,2.33589,0.80367,0.75433,0.83595,0.68657,1.5397,1.4165,2.20495,0.0050005,0.0050005,0.0050005
103,18133.9,2.01375,1.66468,2.32903,0.80602,0.75045,0.83625,0.68705,1.53899,1.41918,2.20484,0.004951,0.004951,0.004951
104,18309.6,2.02199,1.66669,2.32731,0.79568,0.76038,0.83578,0.68632,1.5386,1.42179,2.20532,0.0049015,0.0049015,0.0049015
105,18485.2,2.00599,1.65482,2.32547,0.80413,0.75087,0.83564,0.68695,1.53841,1.41807,2.20544,0.004852,0.004852,0.004852
106,18661.2,2.02031,1.65398,2.32491,0.80348,0.75162,0.83506,0.68601,1.53648,1.42106,2.20512,0.0048025,0.0048025,0.0048025
107,18836.8,2.01453,1.66292,2.31887,0.79789,0.75663,0.83508,0.68593,1.53579,1.41972,2.20461,0.004753,0.004753,0.004753
