epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,923.659,0.86191,0.83757,1.09616,0.81801,0.81683,0.87799,0.73729,0.67849,0.76117,1.13939,0.0015941,0.0015941,0.0015941
43,945.659,0.81707,0.81902,1.08575,0.85719,0.78742,0.89141,0.76767,0.63589,0.6761,1.09729,0.0015842,0.0015842,0.0015842
44,967.788,0.84653,0.84504,1.09309,0.82911,0.80463,0.87644,0.73082,0.70412,0.75999,1.14908,0.0015743,0.0015743,0.0015743
45,989.931,0.82941,0.7963,1.08073,0.86281,0.82503,0.87783,0.73926,0.66543,0.68824,1.13257,0.0015644,0.0015644,0.0015644
46,1011.81,0.81379,0.7999,1.09427,0.82429,0.84901,0.90047,0.76166,0.66146,0.69103,1.11961,0.0015545,0.0015545,0.0015545
47,1033.8,0.83084,0.7918,1.09425,0.88531,0.82178,0.89906,0.77023,0.62612,0.67545,1.09656,0.0015446,0.0015446,0.0015446
48,1055.69,0.80975,0.79219,1.07959,0.86446,0.85396,0.91024,0.77909,0.62597,0.6406,1.08978,0.0015347,0.0015347,0.0015347
49,1077.81,0.80592,0.77675,1.08134,0.85914,0.79703,0.88999,0.75006,0.69822,0.68895,1.14859,0.0015248,0.0015248,0.0015248
50,1099.76,0.80512,0.77213,1.07625,0.87263,0.83911,0.91201,0.77539,0.63592,0.63116,1.11375,0.0015149,0.0015149,0.0015149
51,1121.68,0.79876,0.75954,1.07142,0.86174,0.84855,0.90267,0.771,0.64152,0.63675,1.09589,0.001505,0.001505,0.001505
52,1143.55,0.79736,0.76411,1.06366,0.87973,0.79208,0.89227,0.76778,0.63424,0.67998,1.10205,0.0014951,0.0014951,0.0014951
53,1165.49,0.81045,0.75403,1.07788,0.87603,0.8396,0.90605,0.77777,0.63173,0.6179,1.09811,0.0014852,0.0014852,0.0014852
54,1187.38,0.80585,0.767,1.07967,0.86976,0.8596,0.91623,0.78175,0.63394,0.5991,1.09871,0.0014753,0.0014753,0.0014753
55,1209.43,0.7756,0.71979,1.05933,0.85592,0.82348,0.89532,0.76657,0.62006,0.66643,1.09171,0.0014654,0.0014654,0.0014654
56,1231.41,0.77317,0.74155,1.0623,0.86543,0.84901,0.89261,0.76801,0.61037,0.64582,1.08577,0.0014555,0.0014555,0.0014555
57,1253.37,0.77627,0.71784,1.06141,0.89133,0.84406,0.907,0.76313,0.66146,0.68359,1.12688,0.0014456,0.0014456,0.0014456
58,1275.29,0.77239,0.71675,1.05255,0.87934,0.81176,0.89401,0.77576,0.62151,0.65729,1.07933,0.0014357,0.0014357,0.0014357
59,1297.24,0.76211,0.7004,1.04815,0.89216,0.78218,0.8979,0.77589,0.63091,0.65038,1.09387,0.0014258,0.0014258,0.0014258
60,1319.23,0.76343,0.71061,1.05551,0.87632,0.7599,0.86802,0.73667,0.64118,0.7326,1.10053,0.0014159,0.0014159,0.0014159
61,1341.18,0.75332,0.69457,1.04536,0.82698,0.84,0.89048,0.76846,0.60517,0.67311,1.06608,0.001406,0.001406,0.001406
62,1363.03,0.76344,0.70542,1.05146,0.87952,0.83119,0.90393,0.77517,0.62672,0.6377,1.08683,0.0013961,0.0013961,0.0013961
