epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2855.19,0.99392,0.87525,1.21794,0.80658,0.74324,0.82236,0.64864,0.812,0.7322,1.18748,0.007921,0.007921,0.007921
44,2921.67,0.99099,0.86726,1.21639,0.81446,0.73994,0.82184,0.64721,0.81994,0.72549,1.19741,0.0078715,0.0078715,0.0078715
45,2988.16,0.98478,0.86156,1.21276,0.82852,0.7199,0.82144,0.64472,0.83089,0.72544,1.20669,0.007822,0.007822,0.007822
46,3054.43,0.99409,0.87084,1.21921,0.79974,0.74716,0.82186,0.64774,0.80417,0.72697,1.19267,0.0077725,0.0077725,0.0077725
47,3120.62,0.98486,0.85801,1.21262,0.80301,0.74324,0.8234,0.6444,0.81728,0.71679,1.19736,0.007723,0.007723,0.007723
48,3186.76,0.98212,0.85697,1.21067,0.82226,0.73372,0.82395,0.64933,0.8173,0.71904,1.19063,0.0076735,0.0076735,0.0076735
49,3252.8,0.96787,0.84162,1.20098,0.80982,0.74609,0.82654,0.65442,0.80645,0.71001,1.18717,0.007624,0.007624,0.007624
50,3318.93,0.96993,0.84553,1.20309,0.79729,0.74324,0.82394,0.65283,0.80001,0.7107,1.18442,0.0075745,0.0075745,0.0075745
51,3385.11,0.9618,0.84586,1.20008,0.81767,0.73519,0.82493,0.65098,0.81002,0.70741,1.1772,0.007525,0.007525,0.007525
52,3451.45,0.97644,0.84319,1.19926,0.80621,0.73755,0.82505,0.65232,0.80759,0.71629,1.18613,0.0074755,0.0074755,0.0074755
53,3517.58,0.96934,0.83482,1.19945,0.82075,0.7372,0.82408,0.64913,0.81496,0.73679,1.18529,0.007426,0.007426,0.007426
54,3583.84,0.96487,0.82458,1.19926,0.81422,0.74031,0.82799,0.65387,0.80272,0.71542,1.18579,0.0073765,0.0073765,0.0073765
55,3650.19,0.96078,0.83224,1.19686,0.84489,0.71764,0.82596,0.65395,0.80084,0.70649,1.18208,0.007327,0.007327,0.007327
56,3716.53,0.96907,0.83187,1.19772,0.80054,0.75605,0.82444,0.65108,0.80884,0.7187,1.18153,0.0072775,0.0072775,0.0072775
57,3782.83,0.95936,0.8156,1.19115,0.82293,0.73898,0.82637,0.65597,0.79934,0.71139,1.1778,0.007228,0.007228,0.007228
58,3849.21,0.95039,0.81721,1.18804,0.81788,0.74324,0.82947,0.65861,0.80425,0.70347,1.17218,0.0071785,0.0071785,0.0071785
59,3915.6,0.95278,0.81444,1.18816,0.78972,0.76707,0.82789,0.66025,0.78929,0.70306,1.1757,0.007129,0.007129,0.007129
60,3982.1,0.95054,0.81355,1.18839,0.83352,0.73506,0.82817,0.66061,0.77819,0.69042,1.15866,0.0070795,0.0070795,0.0070795
61,4048.52,0.94876,0.80881,1.18581,0.8232,0.73151,0.8251,0.65788,0.79322,0.71303,1.17538,0.00703,0.00703,0.00703
62,4114.97,0.94391,0.80439,1.18735,0.81055,0.75284,0.82877,0.66033,0.78487,0.68599,1.1767,0.0069805,0.0069805,0.0069805
63,4181.43,0.9475,0.80157,1.18081,0.78725,0.76849,0.82904,0.66132,0.78817,0.69972,1.17096,0.006931,0.006931,0.006931
64,4247.91,0.9365,0.79794,1.17988,0.81432,0.7404,0.82853,0.66059,0.78749,0.69661,1.17499,0.0068815,0.0068815,0.0068815
65,4314.4,0.94078,0.8003,1.18345,0.80258,0.74787,0.83066,0.66249,0.78842,0.6953,1.16391,0.006832,0.006832,0.006832
66,4380.7,0.93435,0.79694,1.17563,0.80973,0.74751,0.83117,0.66202,0.78833,0.69473,1.17145,0.0067825,0.0067825,0.0067825
67,4447,0.93763,0.792,1.17724,0.81163,0.74621,0.82788,0.66011,0.78869,0.69114,1.17157,0.006733,0.006733,0.006733
68,4513.01,0.93601,0.78389,1.17216,0.81659,0.74929,0.83121,0.66367,0.78642,0.68852,1.16161,0.0066835,0.0066835,0.0066835
69,4579.11,0.93374,0.78463,1.17332,0.82652,0.7308,0.82991,0.66135,0.78578,0.69585,1.16834,0.006634,0.006634,0.006634
70,4645.15,0.93226,0.78735,1.17079,0.80809,0.75747,0.83019,0.66454,0.78257,0.68949,1.15987,0.0065845,0.0065845,0.0065845
71,4711.44,0.9284,0.78147,1.17131,0.8198,0.74964,0.82917,0.66333,0.78177,0.68289,1.15978,0.006535,0.006535,0.006535
72,4777.36,0.92556,0.78306,1.16926,0.84231,0.72564,0.83581,0.66984,0.77283,0.68094,1.14822,0.0064855,0.0064855,0.0064855
73,4843.61,0.92019,0.77242,1.16589,0.80162,0.7458,0.83067,0.66544,0.78069,0.69049,1.15704,0.006436,0.006436,0.006436
74,4909.86,0.92795,0.77761,1.17107,0.79598,0.75747,0.82882,0.66093,0.78889,0.68396,1.17248,0.0063865,0.0063865,0.0063865
75,4975.98,0.9261,0.77149,1.16785,0.81718,0.74716,0.8276,0.66094,0.78718,0.69371,1.16253,0.006337,0.006337,0.006337
76,5042.24,0.91195,0.76196,1.16047,0.8219,0.73826,0.82964,0.66611,0.7776,0.69087,1.15933,0.0062875,0.0062875,0.0062875
77,5108.45,0.92418,0.76568,1.16411,0.8198,0.74099,0.83322,0.66711,0.77774,0.67118,1.15772,0.006238,0.006238,0.006238
78,5174.64,0.9188,0.7673,1.17223,0.80452,0.74934,0.83355,0.67051,0.7728,0.67549,1.16172,0.0061885,0.0061885,0.0061885
79,5240.97,0.91585,0.75879,1.15811,0.79347,0.75962,0.83011,0.66613,0.78362,0.67805,1.15989,0.006139,0.006139,0.006139
80,5307.38,0.91139,0.75231,1.15901,0.81027,0.75328,0.83132,0.66462,0.7777,0.67794,1.16106,0.0060895,0.0060895,0.0060895
81,5373.81,0.90927,0.7577,1.156,0.79893,0.76584,0.83393,0.6681,0.77135,0.67461,1.15312,0.00604,0.00604,0.00604
82,5440.09,0.90342,0.75252,1.15683,0.79428,0.76743,0.83132,0.66607,0.77196,0.68179,1.1557,0.0059905,0.0059905,0.0059905
83,5506.38,0.91073,0.75303,1.15753,0.83538,0.72908,0.82907,0.66604,0.7751,0.67946,1.15889,0.005941,0.005941,0.005941
84,5572.92,0.9063,0.75187,1.16177,0.8077,0.74822,0.82793,0.66589,0.77694,0.68343,1.16514,0.0058915,0.0058915,0.0058915
85,5639.27,0.90155,0.75232,1.15852,0.82075,0.73684,0.82763,0.66705,0.77451,0.67841,1.158,0.005842,0.005842,0.005842
86,5705.67,0.89758,0.73996,1.15447,0.81808,0.74609,0.8299,0.66651,0.77655,0.67717,1.16444,0.0057925,0.0057925,0.0057925
87,5772.16,0.89749,0.74122,1.15208,0.81175,0.75356,0.83024,0.66751,0.77406,0.67327,1.16163,0.005743,0.005743,0.005743
88,5838.28,0.89737,0.7397,1.15303,0.8214,0.74255,0.82858,0.66518,0.77631,0.67366,1.15858,0.0056935,0.0056935,0.0056935
89,5904.35,0.89442,0.72905,1.14707,0.81879,0.73649,0.82689,0.66542,0.77338,0.68263,1.14978,0.005644,0.005644,0.005644
90,5970.23,0.8964,0.73111,1.15071,0.81384,0.74609,0.82983,0.66841,0.77138,0.67775,1.15221,0.0055945,0.0055945,0.0055945
91,6036.14,0.89322,0.73008,1.1483,0.81205,0.74858,0.83011,0.66697,0.77541,0.67546,1.15474,0.005545,0.005545,0.005545
92,6102.12,0.89275,0.725,1.14447,0.81261,0.74793,0.82982,0.66683,0.77137,0.67842,1.16139,0.0054955,0.0054955,0.0054955
93,6168.1,0.89031,0.72675,1.14632,0.79927,0.7604,0.83145,0.6657,0.77638,0.67984,1.16095,0.005446,0.005446,0.005446
94,6234.16,0.88587,0.71954,1.1486,0.81698,0.75,0.83187,0.66679,0.77342,0.67668,1.15604,0.0053965,0.0053965,0.0053965
95,6300.19,0.89176,0.72365,1.14179,0.81787,0.74737,0.82928,0.66837,0.76836,0.67577,1.15171,0.005347,0.005347,0.005347
96,6366.45,0.88898,0.72013,1.14263,0.80912,0.75462,0.8306,0.66887,0.76593,0.67684,1.1523,0.0052975,0.0052975,0.0052975
97,6432.59,0.88111,0.71202,1.13785,0.80889,0.74355,0.82975,0.66836,0.7731,0.67203,1.15293,0.005248,0.005248,0.005248
